Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.079008,0.38,-0.7,0.41,0.04,0.0,0.01,18.0,53.4,117.75
0.110334,0.29,-0.41,-0.01,0.0,-0.0,0.0,16.5,54.15,118.35
0.106739,0.08,-0.33,0.22,0.02,0.01,0.01,16.65,53.55,117.9
0.107217,0.13,-0.39,0.12,0.01,0.0,-0.01,16.05,54.9,115.5
0.107218,0.09,-0.21,0.17,0.0,0.01,-0.01,16.2,53.1,112.35
0.10718,0.09,-0.28,0.14,-0.05,-0.02,0.0,15.75,52.65,113.7
0.109231,0.08,-0.32,0.1,-0.01,-0.01,0.01,16.95,53.1,115.65
0.107047,0.2,-0.3,0.18,0.0,-0.01,0.01,16.5,52.2,114.0
0.106909,0.45,-0.3,0.15,0.0,-0.01,0.01,14.7,51.3,114.9
0.108038,0.32,-0.45,0.18,-0.02,-0.01,0.01,5.4,43.5,111.3
0.107925,-0.36,-0.45,0.17,0.01,0.01,-0.0,-3.0,37.65,106.65
0.110103,0.03,-0.4,0.21,0.03,0.01,-0.01,-8.4,33.15,105.3
0.109348,0.57,-0.16,0.2,0.02,0.0,-0.0,-16.65,28.95,100.95
0.104602,-0.28,-0.17,0.2,0.01,0.01,-0.02,-27.45,23.55,98.7
0.109425,0.11,-0.46,0.08,-0.01,-0.01,0.0,-34.2,23.25,95.4
0.106974,1.61,-0.6,0.23,-0.0,0.0,0.01,-40.05,21.45,94.5
0.107102,-0.31,-0.5,0.18,0.01,0.0,-0.0,-43.95,18.6,89.55
0.107966,-0.24,-0.56,0.25,0.01,0.01,0.01,-46.05,17.55,88.2
0.106934,-1.24,0.03,0.1,0.02,0.01,-0.01,-49.05,18.45,86.7
0.106689,0.12,0.09,0.01,0.0,0.0,-0.01,-52.05,18.0,84.9
0.106921,3.11,-0.23,0.1,0.01,-0.01,0.0,-51.75,18.0,84.6
0.107574,1.18,-0.14,-0.11,0.02,-0.01,-0.01,-53.7,17.1,83.7
0.108191,-0.07,-0.31,0.17,-0.02,-0.01,0.0,-53.55,18.0,82.35
0.106795,0.18,-0.41,0.14,0.01,-0.01,0.0,-53.55,18.45,82.65
0.107404,-0.8,-0.86,0.47,-0.06,-0.02,0.02,-53.25,16.8,83.85
