Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.053025,-3.45,-1.81,-19.32,0.42,-0.25,-0.19,121.8,-25.65,-6.9
0.106734,-3.06,-0.91,-18.6,-0.77,0.59,-0.48,132.15,-29.7,-32.55
0.107381,2.27,1.71,-19.4,-0.57,0.19,-0.6,136.5,-40.65,-45.9
0.105778,-2.04,-2.22,-19.48,0.68,0.01,-0.46,143.7,-43.95,-58.2
0.106615,-2.15,-2.92,-19.02,-0.22,0.09,-0.09,151.05,-46.5,-55.5
0.107072,-0.96,-9.38,-20.72,-0.25,0.39,0.49,144.75,-30.75,-44.4
0.106535,-7.65,1.49,-20.26,0.35,0.12,0.87,114.9,-20.1,-40.65
0.106674,1.05,-0.99,-19.35,-0.05,0.34,0.27,96.0,-20.25,-27.45
0.108058,4.02,-0.82,-20.11,-0.17,0.4,0.48,87.45,-22.05,-13.35
0.107386,3.1,-0.35,-20.19,0.16,0.18,0.41,87.0,-22.95,3.9
0.107004,2.97,-1.38,-19.15,0.11,0.09,0.58,87.3,-19.2,23.1
0.106617,4.21,5.57,-25.25,-0.31,-0.22,0.71,90.0,-7.65,38.55
0.107078,0.24,-4.61,-19.34,0.24,-0.1,0.48,91.8,4.5,41.1
0.106839,1.02,2.72,-18.64,0.36,-0.05,0.22,88.2,20.1,39.15
0.107433,-1.81,-1.79,-19.54,0.3,-0.21,0.18,86.55,18.75,26.1
0.10798,0.82,-1.86,-18.06,0.5,0.35,-0.07,88.8,6.45,9.9
0.107897,-2.66,-1.12,-19.15,0.09,-0.04,0.06,91.65,-13.2,-0.9
0.107865,1.39,-1.84,-19.4,0.22,-0.16,-0.47,97.95,-28.2,-11.1
0.108252,-0.05,-1.56,-19.43,-0.07,-0.05,-0.64,108.75,-50.25,-35.25
0.10724,0.57,-1.18,-19.52,0.09,0.08,-0.39,115.95,-60.9,-53.85
0.107362,-0.15,-4.5,-18.52,0.25,0.21,-0.0,122.4,-61.65,-75.15
0.107369,3.28,-3.59,-19.23,-1.36,0.35,-0.36,126.15,-46.95,-80.7
0.107863,-1.07,-2.21,-19.17,0.6,-0.64,-0.27,127.05,-35.7,-73.2
0.10767,3.19,-3.16,-19.84,-0.7,-0.01,0.01,120.75,-29.1,-51.75
0.106875,4.66,-0.38,-19.5,0.19,-0.22,0.03,105.75,-21.9,-34.95
