Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.03926,-0.07,0.02,0.3,0.01,-0.01,0.01,-2.55,0.6,-2.65
0.106466,1.03,0.09,0.17,-0.02,-0.03,-0.02,-115.95,-277.05,83.45
0.112658,-1.02,0.79,0.37,-0.0,-0.04,0.05,-539.85,-838.95,237.8
0.115535,0.85,0.51,1.07,0.0,-0.05,-0.03,-906.75,-1260.15,325.7
0.107893,-0.75,0.21,0.29,-0.0,-0.01,-0.02,-1058.85,-1449.45,360.95
0.113505,1.61,-1.12,0.24,-0.04,0.0,0.01,-1165.8,-1594.2,382.7
0.108113,-1.2,0.82,0.47,0.06,-0.03,-0.04,-1255.2,-1727.1,402.65
0.113613,0.9,0.91,0.6,0.03,-0.0,0.07,-1319.1,-1841.7,417.2
0.108008,1.34,-1.98,1.05,0.08,-0.07,0.16,-1374.6,-1982.1,429.05
0.109225,0.9,-1.06,-0.72,0.21,-0.08,0.15,-1396.65,-2063.4,433.85
0.10946,-1.79,2.24,-0.26,-0.01,-0.04,-0.16,-1403.4,-2094.15,432.8
0.108643,1.93,7.11,-0.12,-0.1,-0.01,-0.09,-1404.45,-2110.8,430.85
0.108666,2.13,2.23,0.0,0.2,-0.14,0.02,-1403.7,-2121.3,430.55
0.108701,-0.46,0.35,2.78,0.01,0.44,0.13,-1404.0,-2132.85,430.7
0.108268,-4.28,-3.64,1.77,-0.02,0.0,-0.2,-1404.45,-2135.7,430.1
0.1092,3.23,2.66,-0.59,-0.01,0.09,0.02,-1403.4,-2139.6,427.25
0.109372,-0.14,-3.16,-2.54,-0.16,0.19,0.37,-1404.9,-2142.3,426.8
0.108278,7.93,4.02,-4.94,-0.29,-0.41,-0.12,-1406.4,-2145.45,423.5
0.108096,0.91,5.47,-2.79,0.11,-0.04,0.17,-1407.9,-2147.1,423.5
0.109133,0.65,5.31,0.19,-0.32,-0.01,-0.18,-1408.65,-2149.35,420.5
0.109723,5.5,-2.7,-0.76,0.06,-0.1,0.08,-1409.55,-2149.5,419.3
0.10875,3.63,3.72,0.63,-0.12,-0.13,-0.14,-1410.15,-2151.3,416.9
0.108509,0.8,-0.2,-0.12,0.02,0.01,0.05,-1410.15,-2151.0,415.4
0.110311,-0.26,0.45,0.0,0.05,0.05,0.04,-1411.5,-2152.35,413.3
