Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,yaw_deg,pitch_deg,roll_deg,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,cumulative_displacement
0.109945,-1.3,-3.2,2.93,-1.62,0.06,0.33,-1692.0,-1763.95,625.1,-11.416625928861377,0.5799540938218344,2.020596295121621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.104783,-2.82,-7.47,0.02,-0.28,0.22,-0.16,-1988.1,-1914.25,900.5,-14.297130407713167,1.6488122690912248,0.7808823925489338,0.01683472647371464,-0.8030081263765682,0.20459609334004816,0.0008819965720476206,-0.04207080025305797,0.010719096224225132,0.043423831886994994
0.106819,1.29,4.61,1.58,-0.05,0.0,-0.11,-2999.25,-2546.65,1128.65,-13.441639646778814,1.4953586883897834,0.1591536074196177,0.012929252508924217,-0.36978379215689255,0.10108779590364934,0.0015896792354732501,-0.06263822997291286,0.016326423682561264,0.06475367251598925
0.105884,-0.02,2.56,3.48,0.12,-0.19,0.02,-3261.75,-2685.55,1162.7,-11.530261301110734,0.4001664888542202,0.5586043414092366,0.010471587084715368,-0.1498532711840322,0.05621978483657308,0.001238887249766467,-0.02751062540739524,0.008328177939548856,0.10078204456489297
0.106534,-0.34,0.17,0.02,-0.02,0.01,-0.01,-3297.3,-2702.2,1165.1,-12.851077634076956,0.4450435080468102,0.4778441346698092,0.010755158815189462,-0.177895560823756,0.06261725542329055,0.0011306850738502306,-0.017458197034558854,0.006330092623522156,0.1110316966971363
0.10634,-0.22,-0.09,0.32,0.03,-0.04,0.02,-3298.2,-2701.6,1164.95,-13.859467429122992,0.23432355841459232,0.6430898467875066,0.011424527697422459,-0.23261083383086345,0.07611773649239315,0.001179293931875576,-0.021826625003786116,0.0073765395201569025,0.1155239763913319
0.107462,-0.43,-0.14,0.26,0.01,-0.03,-0.02,-3297.45,-2702.35,1166.45,-14.998914478140618,0.023977705578389432,0.5651310477444366,0.01202508903534848,-0.2928123306102223,0.09224825754305455,0.0012599713566685154,-0.02823151204858398,0.00904647322551864,0.1221434752759752
0.106827,-0.28,-0.26,0.23,-0.03,0.0,-0.11,-3295.95,-2701.6,1166.45,-16.370695805232078,-0.15772709866731857,-0.08195638124025935,0.011864440767811065,-0.36455940704160295,0.11332466854905286,0.0012760234001410625,-0.03511252530906577,0.01098036948782078,0.12929110116940107
0.107809,3.18,-3.17,0.58,0.06,0.08,0.0,-3330.45,-2723.2,1160.45,-17.196167379755387,0.31511750494988056,-0.22098612499480338,0.01106327676054574,-0.7363520337669174,0.22838481958043505,0.0012359071495073094,-0.05934408076106289,0.018419679102875983,0.15463894558436916
0.106457,4.33,5.05,6.98,0.01,-0.11,0.03,-3369.45,-2743.9,1146.05,-15.981618103010106,-0.275846567890191,0.15359297843988323,0.010449058176831116,-0.2645533126101553,0.0932640884300743,0.0011450693202141639,-0.05327669022963201,0.017120888900037393,0.16084445405371456
0.108742,2.36,7.13,1.38,0.07,-0.0,-0.04,-3379.5,-2746.15,1139.3,-14.354272490598273,-0.34282585603561627,-0.09348119056248479,0.012678071475476244,0.4402168870543201,-0.08708817332799271,0.0012574451663256035,0.009551004206103688,0.00033579068001527747,0.2258757645025803
0.105961,-0.07,-0.93,0.08,-0.05,0.04,-0.07,-3382.8,-2749.45,1134.05,-15.83696066784416,-0.21743309590077706,-0.5588600573628887,0.011165559695126302,0.3005686377871783,-0.047472370542974755,0.0012632475012341081,0.03924718749886501,-0.007129084894555791,0.25649581844061564
0.105798,-2.49,-3.69,0.74,-0.07,0.06,-0.11,-3383.1,-2750.2,1130.3,-17.433131682299575,-0.058918372669227274,-1.295487997287249,0.001606005263809723,-0.11619738147166309,0.08343324360080961,0.0006756030147627569,0.009753055087834441,0.0019022942238864065,0.28734731729404117
0.106845,-0.83,-3.56,0.89,-0.02,-0.01,-0.11,-3387.75,-2756.65,1120.55,-18.733111663272904,-0.32498754121899115,-1.9136661843547818,-0.012687789435666461,-0.5206851258097446,0.22068854045080386,-0.0005920166149210165,-0.034023855745241,0.01624694600849732,0.33343195482580806
0.107188,0.04,3.09,0.96,0.2,-0.21,0.12,-3394.2,-2759.05,1108.7,-16.36926220250425,-1.338218420354304,-0.8245134759940819,-0.006896660075487864,-0.24820585414743795,0.1406579884200163,-0.0010496089871008048,-0.04120794317982524,0.019366005868302737,0.34127727428749205
0.106268,-0.1,-1.28,0.46,-0.17,0.06,0.11,-3394.05,-2759.2,1106.15,-18.58933456244634,-0.781509723170402,-0.26944574631552826,-0.008506108062464582,-0.4214450701847444,0.19892000900356868,-0.0008184106822419653,-0.03558123221346618,0.018043137315104766,0.3470620223515096
0.106492,-1.34,-1.24,0.14,0.04,-0.05,-0.39,-3394.8,-2759.65,1097.3,-19.468579556108512,-1.8371559378405904,-2.3975785442611937,-0.01747239300421282,-0.5898949120276478,0.2585171039703356,-0.001383251267796305,-0.05384980869288103,0.024356696517408512,0.36639905835169106
0.107619,0.63,2.97,0.71,-0.03,0.02,-0.05,-3401.55,-2757.7,1088.45,-18.49919515979484,-1.8334192071092745,-2.767560741809416,-0.0022443127277442416,-0.33212248037269415,0.1721704923145756,-0.0010609460770837436,-0.0496132948763662,0.02317508421229293,0.3708090626139432
0.107012,-0.6,1.1,0.17,0.01,0.06,-0.04,-3406.05,-2755.3,1083.8,-17.279767997438572,-1.5694949770938076,-3.1522866695180016,0.002037962521306118,-0.26481593990396957,0.15119920689022184,-1.1040974145678243e-05,-0.031939787115323165,0.017302219125651892,0.3894623658503866
0.10593,-0.39,-0.16,0.37,-0.01,0.01,-0.01,-3405.6,-2755.3,1082.6,-18.509275790984887,-1.5201769909221745,-3.1965461915118327,-0.0018572308836224713,-0.3249626084923021,0.17136911244437592,9.572451189914378e-06,-0.031237620815808526,0.01708483103355697,0.390197702513462
0.109325,-0.51,-0.17,0.31,-0.09,0.1,-0.07,-3404.1,-2756.05,1083.8,-20.260404161242583,-1.0650285655186817,-3.7845658117523406,-0.006414955799790822,-0.3873599922182477,0.19445842459974627,-0.0004521784045820791,-0.03893733416134043,0.01999704774367433,0.39844268920980386
0.107104,-0.89,-0.57,0.05,-0.01,-0.01,-0.0,-3403.8,-2755.75,1082.0,-21.493102930539518,-1.1139180552069918,-3.7410829134317956,-0.013751186669188044,-0.48774796620458183,0.23408510342287758,-0.0010799372614987562,-0.04686378138945937,0.02294936301266755,0.4069243642973159
0.104778,-3.54,-0.84,5.39,2.78,0.55,0.03,-3404.1,-2754.85,1091.45,-6.095293331108799,2.100889010117934,-4.322861163982601,-0.023282662932133387,-0.6207655716367504,0.24831627147916988,-0.0019401663467636281,-0.058073915733969556,0.025272525629743362,0.41840496491951684
0.107728,-0.25,1.17,-0.08,0.01,-0.04,0.0,-3404.85,-2756.05,1095.5,-4.803872600390699,1.8591284326898905,-4.254275085129994,-0.017682376709542386,-0.5426004566260689,0.24173389539863513,-0.002206540895259224,-0.06266354774634851,0.02639606218870609,0.4231376187002688
0.106387,-0.11,1.32,0.14,0.09,-0.05,-0.01,-3406.2,-2755.9,1095.65,-3.040020855959462,1.5533524990017613,-4.254798126175782,-0.010880474505429193,-0.4493593174770271,0.2367706956939787,-0.0015193580261035908,-0.052765812243753034,0.025453333966284953,0.4331038679885592
0.107547,-0.11,1.4,0.12,0.04,-0.02,-0.0,-3404.1,-2755.3,1097.3,-1.561660014463789,1.4314915086781939,-4.216440628752949,-0.003362362838172956,-0.34642671444321915,0.23395786198798502,-0.0007658872138961901,-0.04279220018746337,0.025312722096511076,0.44310688890286987
0.106582,-0.1,1.43,0.07,0.03,-0.02,-0.0,-3405.6,-2757.25,1097.3,-0.15685536247739343,1.3098017688374626,-4.184085565398595,0.004329608027521741,-0.24119167072451553,0.23366907224398795,5.1545463385586096e-05,-0.031314771363973745,0.024920306952156072,0.4546200795217069
0.106403,-0.05,1.51,0.12,0.02,-0.02,0.0,-3405.3,-2756.05,1099.25,1.1846032501530983,1.187632359060041,-4.157303940964287,0.012630143014878931,-0.1276678341816525,0.23602229853507842,0.0009022841950822794,-0.019623878950265496,0.024988285462502497,0.4663420820339221
0.106338,-0.13,1.46,0.09,0.02,-0.02,-0.0,-3405.45,-2755.45,1097.45,2.524559177305446,1.0650592488948756,-4.136006164223914,0.020534063248434403,-0.019596956981344643,0.2407990869912665,0.0017633076828141065,-0.007829921681345397,0.025352116247050235,0.47817302292411856
0.106253,-0.07,1.55,0.13,0.01,-0.03,0.0,-3406.2,-2755.9,1097.45,3.801253863005192,0.8815484236468716,-4.123489292716263,0.029116086996288926,0.09777112370474261,0.2486171356956606,0.002637738706976294,0.004153119868430602,0.026000970954577034,0.49020543443765796
0.106961,-0.07,1.54,0.11,0.02,-0.02,-0.0,-3406.2,-2756.65,1097.45,5.1459985709098435,0.7579755835896517,-4.114252756262647,0.03766268314082933,0.2146419921632356,0.2591693383334874,0.003571362016318153,0.01670800964317741,0.027156674524315846,0.5028479247176976
