Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.099998,-0.06,0.06,0.1,0.0,-0.01,0.01,-5.5,-8.1,-16.6
0.108354,0.0,-0.04,0.15,-0.0,-0.02,0.01,-5.95,-7.65,-16.0
0.109573,0.11,-0.01,0.18,0.01,-0.02,0.0,-7.0,-8.85,-16.6
0.10519,0.03,0.08,0.18,0.0,-0.02,0.01,-5.8,-8.25,-16.15
0.107674,0.03,0.05,0.14,0.0,-0.02,0.0,-5.8,-8.7,-17.65
0.107208,-0.01,0.11,0.18,0.01,-0.01,0.0,-6.55,-8.7,-16.45
0.107553,0.0,0.03,0.16,0.01,-0.02,0.0,-6.1,-7.5,-16.45
0.116917,0.01,0.04,0.21,-0.01,-0.02,0.0,-6.55,-8.7,-17.2
0.098332,-0.05,0.03,0.15,0.0,-0.02,0.01,-6.55,-8.25,-16.9
0.107676,0.02,0.07,0.21,0.0,-0.02,0.01,-6.25,-9.3,-15.25
0.108049,-0.03,0.05,0.13,0.0,-0.01,0.0,-6.55,-8.25,-17.2
0.106354,0.0,0.0,0.2,-0.0,-0.02,0.01,-5.8,-8.7,-16.45
0.107603,0.15,-0.0,0.44,-0.17,0.13,0.03,-4.6,-25.8,-21.25
0.108387,-0.06,0.13,0.09,-0.1,-0.12,0.0,-5.2,-17.4,-20.35
0.106853,-0.25,0.11,0.16,0.0,-0.0,0.01,-5.2,-31.05,-23.35
0.108281,0.08,0.13,0.26,0.08,0.04,0.0,-6.25,-10.8,-18.55
0.108039,-0.47,-2.87,1.6,0.39,-0.05,-0.03,-742.3,-530.85,348.95
0.108215,3.43,-4.67,0.82,0.37,0.1,-0.29,-2024.5,-1251.15,740.15
0.106783,-2.24,-3.44,-4.77,0.42,-0.1,0.05,-2347.6,-1424.55,780.95
0.1069,0.2,8.48,-1.63,0.21,0.06,-0.1,-2393.2,-1451.4,773.0
0.107755,-0.22,0.93,0.27,0.05,-0.03,-0.01,-2393.5,-1452.9,771.65
0.106696,-0.08,0.93,0.16,-0.01,-0.01,0.01,-2394.85,-1452.75,771.8
0.10779,-0.22,1.1,-0.02,-0.0,-0.02,0.01,-2394.25,-1452.9,769.7
0.108236,-0.21,1.08,0.02,0.01,-0.01,0.0,-2394.85,-1454.7,771.05
0.107408,-2.06,-11.4,2.82,0.04,0.01,-0.01,-2397.7,-1453.65,770.45
0.107156,0.69,6.33,-0.47,0.24,0.09,0.16,-2413.3,-1466.4,758.45
0.108153,0.19,8.37,-1.82,0.07,-0.02,-0.01,-2416.75,-1473.15,749.75
0.107487,-0.1,4.31,-0.74,-0.22,-0.02,0.0,-2419.75,-1475.55,746.0
0.108012,0.06,0.6,-0.04,-0.02,0.01,0.02,-2419.45,-1474.35,745.25
0.108198,-0.41,5.27,-1.71,-0.7,-0.03,-0.02,-2422.3,-1478.85,741.8
0.108017,-0.34,1.23,0.09,-0.18,-0.01,0.08,-2422.6,-1481.55,738.05
0.107394,2.61,2.51,-0.77,0.23,0.02,0.06,-2425.0,-1481.7,735.35
0.107128,-0.32,-0.02,0.14,-0.03,-0.01,0.01,-2426.8,-1482.75,731.0
0.107406,-0.84,0.55,-0.16,0.08,0.0,0.11,-2428.6,-1483.8,725.45
0.107135,-1.29,2.35,0.03,0.09,-0.01,-0.13,-2431.6,-1485.75,718.85
0.10902,1.2,0.79,0.02,-0.07,-0.01,-0.06,-2435.95,-1485.15,714.95
0.106872,-0.4,3.02,-0.69,0.04,0.01,0.06,-2435.2,-1484.85,712.7
0.10695,-0.22,1.15,0.04,0.08,-0.02,-0.0,-2437.0,-1483.35,710.9
0.106893,-0.05,1.07,-0.04,0.02,-0.01,0.01,-2435.8,-1484.25,709.85
0.106587,0.42,1.78,0.15,-0.22,-0.06,-0.06,-2435.35,-1483.5,709.85
0.106601,0.01,0.96,0.22,0.11,-0.02,0.01,-2437.0,-1484.4,711.2
0.106896,-0.03,0.98,-0.04,0.0,-0.02,-0.0,-2436.85,-1484.25,711.05
0.10931,-0.09,1.05,-0.06,0.0,-0.01,-0.0,-2436.25,-1484.1,711.65
0.10383,-0.11,1.03,-0.03,0.01,-0.02,0.0,-2436.85,-1485.0,709.25
0.106949,-0.05,1.01,-0.02,0.0,-0.01,0.0,-2435.95,-1483.65,710.45
0.10698,-0.11,1.04,-0.0,-0.01,-0.02,-0.0,-2436.7,-1484.4,710.9
0.106646,-0.13,1.03,-0.04,-0.0,-0.01,0.0,-2437.0,-1484.85,711.65
0.106988,-0.08,1.03,-0.04,0.01,-0.02,0.0,-2435.05,-1485.0,710.6
0.106438,-0.1,1.03,0.04,-0.0,-0.01,0.0,-2436.85,-1484.7,711.05
0.106444,-0.11,0.98,-0.02,0.0,-0.01,0.0,-2436.7,-1484.85,710.9
