Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.080481,-67.97,0.0,135.36,0.0,17.8,0.0,3503.8,-505.6,-340.0
0.105967,63.95,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0
0.109015,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6
0.103582,74.99,0.0,112.6,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.107812,-131.71,0.0,135.36,0.0,17.8,0.0,3503.8,-505.6,-340.0
0.105062,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6
0.106039,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6
0.10723,-146.49,0.15,-8.87,0.24,18.36,0.0,2975.8,-519.85,-301.6
0.110347,-96.16,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0
0.105596,-113.32,0.0,-41.85,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.104525,-105.96,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0
0.106781,136.27,0.0,-97.01,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.105272,127.69,0.0,34.16,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.106372,-146.49,0.15,-8.87,0.24,18.36,0.0,4243.0,-519.7,-301.6
0.106028,129.4,0.0,-22.22,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.105631,-50.8,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0
0.105856,-39.76,0.0,-74.93,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.105157,-146.49,0.15,135.36,0.0,17.8,0.0,6662.2,-519.7,-301.6
0.106036,-37.8,0.0,-8.87,0.24,18.36,0.0,1823.8,-519.85,-301.6
0.106748,-23.09,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0
0.105441,-146.49,0.15,135.36,0.0,17.8,0.0,3503.8,-505.6,-340.0
0.106159,77.92,0.0,-54.08,0.82,17.8,0.0,3503.8,-505.6,-340.0
0.104856,67.62,0.0,-8.87,0.24,18.36,0.0,-2256.2,-505.6,-340.0
0.105242,-146.49,0.15,135.36,0.0,17.8,0.0,3470.2,-505.6,-301.6
