    Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
    0.100052,0.07,-0.36,0.12,0.01,0.01,-0.0,42.75,92.25,132.45
    0.109067,0.14,-0.21,0.18,0.01,0.0,-0.0,41.7,93.45,132.9
    0.106414,0.14,-0.23,0.15,0.01,0.0,-0.0,42.3,93.0,133.2
    0.107727,0.11,-0.34,0.14,0.01,-0.0,-0.0,42.0,93.0,133.8
    0.107819,0.14,-0.3,0.15,0.01,-0.0,-0.0,42.45,91.65,133.65
    0.107524,0.17,-0.28,0.05,0.01,0.0,-0.0,42.15,93.45,133.65
    0.105611,-0.02,-0.26,0.11,0.01,0.0,0.0,41.4,92.4,132.6
    0.111792,0.13,-0.21,0.12,0.01,0.0,-0.01,42.75,93.0,132.75
    0.108205,0.13,-0.22,0.13,0.01,-0.0,0.0,42.75,91.8,133.2
    0.108192,0.11,-0.29,0.13,0.01,-0.0,-0.01,41.7,93.15,132.9
    0.107111,0.05,-0.32,0.14,0.0,-0.0,-0.0,41.4,92.7,132.9
    0.108806,0.18,-0.23,0.07,0.01,-0.0,0.0,41.7,91.95,132.15
    0.107964,0.19,-0.27,0.2,0.01,-0.0,0.0,43.05,92.55,133.2
    0.106162,0.11,-0.24,0.15,0.01,-0.0,0.0,42.45,92.4,134.85
    0.10723,0.1,-0.28,0.12,0.01,-0.0,-0.0,41.55,91.8,134.25
    0.109381,0.15,-0.31,0.16,0.01,0.0,0.0,41.7,93.45,134.1
    0.10715,0.11,-0.24,0.09,0.0,-0.0,-0.0,41.25,92.25,133.2
    0.109685,0.06,-0.3,0.07,0.01,-0.0,0.0,42.15,92.4,132.15
    0.108142,0.14,-0.29,0.16,0.01,-0.0,-0.0,42.45,91.8,132.45
    0.107006,0.11,-0.23,0.09,0.01,0.0,-0.0,42.3,93.0,134.1
    0.108266,0.13,-0.27,0.08,0.01,-0.0,-0.0,42.0,92.55,134.25
    0.108982,0.11,-0.27,0.13,0.01,-0.0,0.0,42.15,92.7,132.6
    0.108552,0.11,-0.22,0.12,0.01,0.0,0.0,41.55,93.3,133.5
    0.106789,0.1,-0.19,0.41,0.01,-0.0,-0.0,40.8,92.25,133.2
    0.107217,0.37,-0.24,0.18,0.0,0.0,-0.0,40.8,92.55,135.0
