Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.028408,0.09,-0.23,0.16,0.01,0.0,-0.0,29.4,93.9,140.7
0.106556,0.13,-0.24,0.12,0.0,-0.0,-0.0,29.55,94.8,141.9
0.109525,0.12,-0.28,0.14,0.01,-0.0,-0.0,30.15,95.4,142.95
0.099601,0.11,-0.27,0.17,0.01,-0.0,-0.0,30.15,95.4,142.2
0.106926,0.11,-0.25,0.14,0.01,-0.0,-0.0,30.3,93.3,141.6
0.106893,0.16,-0.24,0.15,0.01,-0.0,-0.0,29.25,94.5,140.85
0.107584,0.16,-0.29,0.1,0.0,0.0,0.0,28.5,94.8,142.35
0.105928,0.16,-0.28,0.18,0.0,0.0,0.0,30.3,94.8,142.35
0.107884,0.32,-0.28,0.12,-0.0,0.0,0.0,29.25,92.25,139.05
0.108357,-0.91,-0.21,0.2,0.03,-0.02,0.01,25.65,83.85,132.9
0.107317,-0.49,-0.19,0.1,0.01,0.01,-0.01,19.65,63.6,121.5
0.10796,-0.3,-0.33,0.42,0.01,0.05,-0.03,8.25,48.3,111.0
0.106918,0.03,-0.14,-0.27,-0.0,0.0,-0.0,-3.75,38.7,104.85
0.107004,0.13,-0.28,0.08,0.02,0.01,-0.01,-15.3,30.75,98.55
0.110232,-0.03,-0.26,0.11,0.02,-0.01,-0.0,-22.8,27.15,95.25
0.107512,-0.21,-0.26,-0.1,0.05,0.02,-0.0,-31.5,24.9,93.45
0.108255,-0.76,-0.06,0.3,0.03,-0.02,-0.04,-37.5,21.45,89.4
0.106836,-1.0,0.1,0.33,-0.02,-0.0,0.02,-39.3,20.7,88.65
0.106707,0.12,-0.46,0.16,0.02,-0.02,0.01,-44.4,20.1,86.55
0.107217,0.99,-0.37,0.09,0.01,0.01,-0.01,-46.2,17.85,84.0
0.109168,0.86,-0.62,-0.49,-0.0,0.01,-0.02,-46.8,17.25,84.15
0.107683,-0.87,-0.53,0.16,0.01,-0.0,-0.02,-49.2,16.2,83.7
0.108425,0.34,0.19,0.27,-0.03,0.0,-0.0,-49.65,13.95,82.5
0.107626,1.35,0.28,-2.09,0.04,0.12,0.08,-51.45,12.75,81.75
0.109198,0.74,-0.13,0.63,0.0,-0.05,-0.01,-52.2,15.15,81.0
