Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.042556,-0.74,-2.35,-18.75,0.01,-0.12,0.79,-33.15,-155.85,-55.65
0.106702,-1.01,-1.39,-19.96,0.42,-0.37,0.06,-24.3,-149.4,-47.7
0.106817,0.51,-0.11,-20.94,0.32,-0.42,0.51,-18.75,-141.45,-31.2
0.106547,-0.88,0.23,-19.53,0.04,-0.02,0.26,-16.8,-136.35,-22.05
0.10673,-1.39,-0.97,-19.86,0.19,0.02,0.38,-15.0,-130.95,-13.95
0.106573,-1.41,0.05,-20.45,0.02,0.09,0.31,-13.5,-127.5,0.0
0.107607,0.71,0.13,-19.86,0.09,0.08,0.16,-13.95,-124.65,9.3
0.106128,-0.67,-0.08,-18.62,0.12,0.02,0.0,-13.8,-121.8,23.55
0.109489,0.96,-0.78,-19.44,-0.36,-0.44,-0.12,-10.2,-118.05,31.35
0.105311,-0.14,-0.33,-19.44,-0.28,-0.52,0.45,-5.25,-115.2,34.5
0.106204,-0.2,0.43,-18.96,0.02,0.08,-0.04,-6.0,-111.45,47.7
0.107094,-2.36,1.4,-19.39,0.27,0.37,0.09,-3.9,-103.5,59.7
0.107059,-0.11,-0.09,-19.9,0.18,0.01,0.19,0.0,-91.35,70.2
0.105953,0.12,-0.12,-20.03,0.11,0.01,-0.15,5.55,-74.85,78.6
0.107159,2.06,-0.27,-18.89,0.07,0.01,-0.1,10.8,-61.05,79.35
0.106918,-0.61,-0.19,-19.2,-0.07,-0.0,-0.32,15.45,-54.3,75.6
0.106486,0.53,1.51,-19.27,0.07,0.07,-0.18,17.25,-56.85,67.2
0.106565,4.66,0.3,-18.14,-0.3,-0.03,-0.6,16.65,-66.3,59.7
0.106966,-1.93,2.12,-20.88,-0.23,0.04,-0.37,5.4,-72.75,50.85
0.107276,-1.36,-1.36,-19.27,-0.08,0.08,-0.47,-10.8,-86.85,36.0
0.10698,-0.54,-0.76,-19.49,-0.37,0.21,-0.58,-27.45,-96.6,19.2
0.106898,-0.76,5.69,-18.65,-0.29,-0.36,-0.77,-49.2,-106.65,6.0
0.106889,0.96,-0.57,-18.88,-0.26,-0.01,-0.13,-64.95,-120.45,-19.2
0.106585,0.09,0.12,-19.88,0.0,-0.03,0.13,-67.95,-137.7,-50.55
0.107656,3.41,-0.61,-20.0,0.14,0.02,0.15,-60.3,-149.4,-66.6
