Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.033662,1.02,2.54,-19.77,0.08,0.03,-0.88,-17.25,-127.5,55.05
0.107831,0.22,-2.11,-19.21,0.16,0.02,-0.94,-29.7,-134.25,48.0
0.107564,-0.06,-3.32,-19.35,0.13,0.16,-1.03,-44.4,-139.2,42.45
0.107059,2.91,2.01,-20.42,-0.77,-0.15,-0.08,-55.05,-144.9,29.4
0.108031,3.64,-3.28,-18.08,-0.1,0.69,-1.01,-61.5,-151.8,3.6
0.107163,4.73,-2.56,-18.98,-0.47,-0.2,-0.11,-63.0,-144.9,-1.8
0.107547,-0.29,-3.51,-19.69,0.05,-0.21,0.28,-60.45,-133.5,-3.45
0.10712,0.88,-1.9,-19.84,0.18,-0.22,0.37,-56.4,-119.25,-3.0
0.108165,2.94,-8.3,-19.36,-0.31,-0.07,0.57,-55.2,-111.15,-10.05
0.107302,1.18,2.82,-18.96,-0.78,-0.27,1.18,-50.55,-106.35,6.6
0.106843,1.35,1.24,-19.65,0.17,0.32,0.43,-49.2,-103.95,15.15
0.107191,0.6,1.58,-19.37,0.03,0.2,0.37,-45.0,-100.65,31.95
0.107389,-0.74,0.52,-22.13,0.26,0.42,0.22,-40.5,-96.75,45.15
0.106808,0.56,-4.85,-18.38,0.06,0.25,0.09,-30.75,-88.35,61.05
0.107527,8.83,-4.96,-18.23,0.41,0.41,0.38,-20.55,-81.45,72.0
0.107619,4.47,0.93,-19.6,-0.51,-0.11,0.13,-9.3,-71.85,78.6
0.10725,1.32,-1.67,-19.52,0.19,0.3,0.52,5.7,-70.5,76.95
0.106977,6.71,5.73,-17.47,-0.59,-0.67,0.26,13.8,-58.8,76.05
0.107125,0.19,-2.28,-21.55,-0.15,0.24,0.03,16.95,-72.0,64.2
0.107741,2.32,1.51,-19.29,-0.34,0.24,0.27,13.05,-81.0,48.9
0.107897,-0.32,-2.15,-20.33,-0.34,-0.01,-0.46,-3.45,-96.6,31.8
0.108096,5.89,-3.12,-19.43,0.53,-0.3,0.14,-20.7,-116.55,24.45
0.106977,5.05,-2.86,-20.64,-0.33,-0.84,-0.95,-47.7,-142.35,4.95
0.107253,5.27,-1.98,-19.63,-0.1,0.12,-0.61,-57.15,-165.45,-25.2
0.107406,-4.03,-4.32,-19.48,0.07,-0.16,-0.64,-57.15,-168.45,-27.75
