Timestamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
0.072447,0.74,-0.1,0.24,0.01,0.0,-0.0,-57.9,-10.95,22.2
0.108923,0.83,-0.13,0.27,0.01,-0.0,-0.0,-60.0,-9.6,22.05
0.109343,0.64,-0.15,0.3,0.01,-0.0,-0.01,-60.9,-11.25,23.25
0.109454,0.75,-0.12,0.23,0.01,-0.0,0.0,-57.75,-11.85,22.05
0.111704,0.75,-0.06,0.16,0.01,-0.0,-0.01,-58.8,-8.7,24.6
0.106018,0.77,-0.19,0.21,0.01,-0.0,-0.0,-58.8,-8.7,21.6
0.11098,0.78,-0.19,0.26,0.01,-0.01,0.0,-58.5,-9.9,22.35
0.106212,0.8,-0.07,0.24,0.01,-0.01,0.0,-58.8,-10.35,23.55
0.10997,0.76,-0.11,0.23,0.01,-0.0,-0.0,-58.05,-10.65,22.8
0.119043,0.8,-0.17,0.24,0.01,-0.0,0.0,-59.25,-9.6,21.3
0.097181,0.8,-0.04,0.22,0.01,0.0,-0.0,-59.55,-10.65,21.3
0.108834,0.79,-0.19,0.2,0.0,-0.0,-0.0,-58.05,-8.7,22.05
0.10799,0.81,-0.13,0.26,0.01,0.0,-0.01,-58.5,-9.6,21.6
0.108404,0.77,-0.11,0.25,0.01,-0.01,-0.01,-59.4,-10.95,22.2
0.113269,0.79,-0.14,0.23,0.0,0.0,0.0,-57.9,-10.95,22.2
0.110319,0.79,-0.14,0.3,0.0,0.0,-0.0,-59.25,-10.65,22.35
0.108834,0.73,-0.12,0.22,0.0,0.0,0.0,-59.4,-10.95,22.2
0.114456,0.74,-0.1,0.27,0.0,-0.0,-0.0,-60.0,-10.35,22.35
0.109311,0.79,-0.1,0.2,0.0,-0.01,0.0,-60.15,-9.75,22.2
0.10834,0.76,-0.08,0.19,0.01,-0.01,-0.0,-57.9,-9.75,22.5
0.107887,0.79,-0.03,0.24,0.01,-0.0,0.0,-58.05,-10.35,21.6
0.108089,0.75,-0.14,0.22,0.01,-0.0,-0.0,-58.95,-10.5,22.95
0.1094,0.76,-0.15,0.23,0.0,-0.01,0.0,-59.55,-9.9,22.8
0.10938,0.76,-0.16,0.29,0.01,-0.01,-0.0,-58.5,-9.15,23.85
0.107562,0.79,-0.15,0.24,0.01,-0.0,0.0,-60.15,-10.5,22.95
